"TIER","STATE","STATE_FIPS","COUNTY","COUNTY_FIPS","POLLUTANT","POLLUTANT TYPE","EMISSIONS","UNIT OF MEASURE"
"Miscellaneous","CA","06","Siskiyou","093","PM2.5 Primary (Filt + Cond)","CAP","119140.033173680355","TON"
"Miscellaneous","CA","06","Tulare","107","PM2.5 Primary (Filt + Cond)","CAP","55666.83208866008","TON"
"Miscellaneous","CA","06","Sonoma","097","PM2.5 Primary (Filt + Cond)","CAP","32467.24844136273","TON"
"Miscellaneous","CA","06","Ventura","111","PM2.5 Primary (Filt + Cond)","CAP","22365.29216038432","TON"
"Miscellaneous","CA","06","Alpine","003","PM2.5 Primary (Filt + Cond)","CAP","15986.6764313033039","TON"
"Miscellaneous","CA","06","Napa","055","PM2.5 Primary (Filt + Cond)","CAP","11477.08803356133","TON"
"Miscellaneous","CA","06","Tuolumne","109","PM2.5 Primary (Filt + Cond)","CAP","11195.822293301557","TON"
"Miscellaneous","CA","06","Fresno","019","PM2.5 Primary (Filt + Cond)","CAP","10101.5690169472","TON"
"Miscellaneous","CA","06","Santa Barbara","083","PM2.5 Primary (Filt + Cond)","CAP","9982.36729886075","TON"
"Miscellaneous","CA","06","Del Norte","015","PM2.5 Primary (Filt + Cond)","CAP","9466.863675224482","TON"
"Miscellaneous","CA","06","Mariposa","043","PM2.5 Primary (Filt + Cond)","CAP","7931.841275805254","TON"
"Miscellaneous","CA","06","Plumas","063","PM2.5 Primary (Filt + Cond)","CAP","5758.96189174922","TON"
"Miscellaneous","CA","06","Los Angeles","037","PM2.5 Primary (Filt + Cond)","CAP","4820.687226701","TON"
"Miscellaneous","CA","06","Trinity","105","PM2.5 Primary (Filt + Cond)","CAP","4599.266371183596","TON"
"Miscellaneous","CA","06","Imperial","025","PM2.5 Primary (Filt + Cond)","CAP","4128.24504177806","TON"
"Other Industrial Processes","CA","06","Los Angeles","037","PM2.5 Primary (Filt + Cond)","CAP","4060.6832355143208","TON"
"Miscellaneous","CA","06","Riverside","065","PM2.5 Primary (Filt + Cond)","CAP","4030.6884434059","TON"
"Miscellaneous","CA","06","San Diego","073","PM2.5 Primary (Filt + Cond)","CAP","3666.4913484234","TON"
"Miscellaneous","CA","06","Madera","039","PM2.5 Primary (Filt + Cond)","CAP","3487.24266092366","TON"
"Miscellaneous","CA","06","Modoc","049","PM2.5 Primary (Filt + Cond)","CAP","3431.550126958114","TON"
"Other Industrial Processes","CA","06","San Bernardino","071","PM2.5 Primary (Filt + Cond)","CAP","3010.49900149165","TON"
"Miscellaneous","CA","06","El Dorado","017","PM2.5 Primary (Filt + Cond)","CAP","2819.67520068573","TON"
"Miscellaneous","CA","06","Kern","029","PM2.5 Primary (Filt + Cond)","CAP","2770.3072112621","TON"
"Miscellaneous","CA","06","Nevada","057","PM2.5 Primary (Filt + Cond)","CAP","2465.99584469561","TON"
"Miscellaneous","CA","06","Butte","007","PM2.5 Primary (Filt + Cond)","CAP","2464.20676171035","TON"
"Miscellaneous","CA","06","San Bernardino","071","PM2.5 Primary (Filt + Cond)","CAP","2344.8416127741","TON"
