"TIER","STATE","STATE_FIPS","COUNTY","COUNTY_FIPS","POLLUTANT","POLLUTANT TYPE","EMISSIONS","UNIT OF MEASURE"
"Highway Vehicles","CT","09","Hartford","003","Carbon Monoxide","CAP","41849.5035471","TON"
"Highway Vehicles","CT","09","Fairfield","001","Carbon Monoxide","CAP","39833.4009737","TON"
"Off-Highway","CT","09","Fairfield","001","Carbon Monoxide","CAP","39300.846238416","TON"
"Highway Vehicles","CT","09","New Haven","009","Carbon Monoxide","CAP","36917.8408499","TON"
"Off-Highway","CT","09","Hartford","003","Carbon Monoxide","CAP","26889.93536302734","TON"
"Off-Highway","CT","09","New Haven","009","Carbon Monoxide","CAP","23102.1083817134","TON"
"Highway Vehicles","CT","09","New London","011","Carbon Monoxide","CAP","13339.7692442","TON"
"Natural Resources","CT","09","Litchfield","005","Volatile Organic Compounds","CAP","11091.02","TON"
"Natural Resources","CT","09","New London","011","Volatile Organic Compounds","CAP","10189.98","TON"
"Highway Vehicles","CT","09","Middlesex","007","Carbon Monoxide","CAP","8831.852366434","TON"
"Natural Resources","CT","09","Fairfield","001","Volatile Organic Compounds","CAP","8576.61","TON"
"Highway Vehicles","CT","09","Litchfield","005","Carbon Monoxide","CAP","8212.150584556","TON"
"Off-Highway","CT","09","Litchfield","005","Carbon Monoxide","CAP","8050.088915815","TON"
"Natural Resources","CT","09","Windham","015","Volatile Organic Compounds","CAP","7986.748","TON"
"Natural Resources","CT","09","New Haven","009","Volatile Organic Compounds","CAP","7943.322","TON"
"Natural Resources","CT","09","Hartford","003","Volatile Organic Compounds","CAP","7776.3","TON"
"Off-Highway","CT","09","New London","011","Carbon Monoxide","CAP","7701.09575985185","TON"
"Solvent Utilization","CT","09","Hartford","003","Volatile Organic Compounds","CAP","7293.554619567","TON"
"Natural Resources","CT","09","Middlesex","007","Volatile Organic Compounds","CAP","7053.324","TON"
"Highway Vehicles","CT","09","Tolland","013","Carbon Monoxide","CAP","7032.10382515","TON"
"Miscellaneous","CT","09","Tolland","013","PM10 Primary (Filt + Cond)","CAP","6562.45820995135","TON"
"Natural Resources","CT","09","Tolland","013","Volatile Organic Compounds","CAP","6342.593","TON"
"Fuel Comb. Other","CT","09","Hartford","003","Carbon Monoxide","CAP","6335.88235734","TON"
"Highway Vehicles","CT","09","Windham","015","Carbon Monoxide","CAP","6312.125841","TON"
"Off-Highway","CT","09","Middlesex","007","Carbon Monoxide","CAP","5901.660933658","TON"
