"TIER","STATE","STATE_FIPS","COUNTY","COUNTY_FIPS","POLLUTANT","POLLUTANT TYPE","EMISSIONS","UNIT OF MEASURE"
"Natural Resources","ME","23","Aroostook","003","Volatile Organic Compounds","CAP","50068.9","TON"
"Natural Resources","ME","23","Piscataquis","021","Volatile Organic Compounds","CAP","30259.93","TON"
"Natural Resources","ME","23","Penobscot","019","Volatile Organic Compounds","CAP","30168.62","TON"
"Natural Resources","ME","23","Somerset","025","Volatile Organic Compounds","CAP","29526.52","TON"
"Natural Resources","ME","23","Washington","029","Volatile Organic Compounds","CAP","26264.41","TON"
"Off-Highway","ME","23","Cumberland","005","Carbon Monoxide","CAP","17633.45182032388","TON"
"Natural Resources","ME","23","Hancock","009","Volatile Organic Compounds","CAP","17439.88","TON"
"Natural Resources","ME","23","Oxford","017","Volatile Organic Compounds","CAP","16680.84","TON"
"Highway Vehicles","ME","23","Cumberland","005","Carbon Monoxide","CAP","16460.3072369","TON"
"Highway Vehicles","ME","23","York","031","Carbon Monoxide","CAP","13393.67716616","TON"
"Natural Resources","ME","23","Franklin","007","Volatile Organic Compounds","CAP","13054.14","TON"
"Natural Resources","ME","23","York","031","Volatile Organic Compounds","CAP","11638.27","TON"
"Natural Resources","ME","23","Aroostook","003","Carbon Monoxide","CAP","9738.398","TON"
"Natural Resources","ME","23","Cumberland","005","Volatile Organic Compounds","CAP","9592.836","TON"
"Highway Vehicles","ME","23","Penobscot","019","Carbon Monoxide","CAP","9567.2278621","TON"
"Highway Vehicles","ME","23","Kennebec","011","Carbon Monoxide","CAP","8551.6020482","TON"
"Natural Resources","ME","23","Kennebec","011","Volatile Organic Compounds","CAP","8482.005","TON"
"Off-Highway","ME","23","Piscataquis","021","Carbon Monoxide","CAP","8036.0367695079","TON"
"Off-Highway","ME","23","Hancock","009","Carbon Monoxide","CAP","7793.208160456","TON"
"Natural Resources","ME","23","Waldo","027","Volatile Organic Compounds","CAP","7674.881","TON"
"Off-Highway","ME","23","York","031","Carbon Monoxide","CAP","7374.62332567134","TON"
"Off-Highway","ME","23","Washington","029","Carbon Monoxide","CAP","7332.4721143029","TON"
"Fuel Comb. Other","ME","23","Cumberland","005","Carbon Monoxide","CAP","7169.4067082","TON"
"Fuel Comb. Other","ME","23","York","031","Carbon Monoxide","CAP","6950.5765886","TON"
"Off-Highway","ME","23","Penobscot","019","Carbon Monoxide","CAP","6367.116077045","TON"
"Fuel Comb. Other","ME","23","Penobscot","019","Carbon Monoxide","CAP","6131.9644878","TON"
"Highway Vehicles","ME","23","Androscoggin","001","Carbon Monoxide","CAP","5878.15616942","TON"
"Natural Resources","ME","23","Piscataquis","021","Carbon Monoxide","CAP","5735.862","TON"
"Natural Resources","ME","23","Lincoln","015","Volatile Organic Compounds","CAP","5707.034","TON"
"Natural Resources","ME","23","Penobscot","019","Carbon Monoxide","CAP","5682.676","TON"
"Off-Highway","ME","23","Knox","013","Carbon Monoxide","CAP","5586.354466462","TON"
"Off-Highway","ME","23","Lincoln","015","Carbon Monoxide","CAP","5510.77864030277","TON"
"Natural Resources","ME","23","Androscoggin","001","Volatile Organic Compounds","CAP","5418.896","TON"
"Natural Resources","ME","23","Somerset","025","Carbon Monoxide","CAP","5413.701","TON"
"Fuel Comb. Other","ME","23","Aroostook","003","Carbon Monoxide","CAP","5211.33902189","TON"
"Fuel Comb. Other","ME","23","Kennebec","011","Carbon Monoxide","CAP","5175.7950542","TON"
"Natural Resources","ME","23","Knox","013","Volatile Organic Compounds","CAP","4941.691","TON"
"Natural Resources","ME","23","Washington","029","Carbon Monoxide","CAP","4728.456","TON"
"Off-Highway","ME","23","Kennebec","011","Carbon Monoxide","CAP","4609.49796444134","TON"
"Off-Highway","ME","23","Aroostook","003","Carbon Monoxide","CAP","4597.970039117","TON"
"Highway Vehicles","ME","23","Aroostook","003","Carbon Monoxide","CAP","4508.49271755","TON"
"Miscellaneous","ME","23","Cumberland","005","PM10 Primary (Filt + Cond)","CAP","4407.67896877998","TON"
"Miscellaneous","ME","23","York","031","PM10 Primary (Filt + Cond)","CAP","4251.75022311909","TON"
"Highway Vehicles","ME","23","Hancock","009","Carbon Monoxide","CAP","4178.4445825","TON"
"Off-Highway","ME","23","Somerset","025","Carbon Monoxide","CAP","4121.141160269","TON"
"Fuel Comb. Other","ME","23","Somerset","025","Carbon Monoxide","CAP","4097.32931439","TON"
"Fuel Comb. Other","ME","23","Oxford","017","Carbon Monoxide","CAP","4062.52209989","TON"
"Miscellaneous","ME","23","Penobscot","019","PM10 Primary (Filt + Cond)","CAP","4019.33554103667","TON"
"Natural Resources","ME","23","Sagadahoc","023","Volatile Organic Compounds","CAP","4004.75","TON"
"Miscellaneous","ME","23","Aroostook","003","PM10 Primary (Filt + Cond)","CAP","3891.042711704","TON"
"Highway Vehicles","ME","23","Somerset","025","Carbon Monoxide","CAP","3846.40185673","TON"
"Highway Vehicles","ME","23","Oxford","017","Carbon Monoxide","CAP","3623.1709687","TON"
"Off-Highway","ME","23","Multiple (portable facilities)","777","Lead","CAP/HAP","3536.548","LB"
"Off-Highway","ME","23","Oxford","017","Carbon Monoxide","CAP","3498.24235161067","TON"
"Fuel Comb. Other","ME","23","Androscoggin","001","Carbon Monoxide","CAP","3359.3648291","TON"
"Fuel Comb. Industrial","ME","23","Cumberland","005","Carbon Monoxide","CAP","3293.94487317","TON"
