"TIER","STATE","STATE_FIPS","COUNTY","COUNTY_FIPS","POLLUTANT","POLLUTANT TYPE","EMISSIONS","UNIT OF MEASURE"
"Highway Vehicles","MA","25","Middlesex","017","Carbon Monoxide","CAP","65000.528581","TON"
"Off-Highway","MA","25","Middlesex","017","Carbon Monoxide","CAP","51425.02515892","TON"
"Highway Vehicles","MA","25","Worcester","027","Carbon Monoxide","CAP","38950.27448354","TON"
"Highway Vehicles","MA","25","Essex","009","Carbon Monoxide","CAP","32151.547476","TON"
"Highway Vehicles","MA","25","Norfolk","021","Carbon Monoxide","CAP","30824.671657","TON"
"Highway Vehicles","MA","25","Bristol","005","Carbon Monoxide","CAP","27638.868416","TON"
"Off-Highway","MA","25","Essex","009","Carbon Monoxide","CAP","25458.16722582215","TON"
"Off-Highway","MA","25","Worcester","027","Carbon Monoxide","CAP","24208.365014124","TON"
"Highway Vehicles","MA","25","Plymouth","023","Carbon Monoxide","CAP","23520.1354462","TON"
"Off-Highway","MA","25","Barnstable","001","Carbon Monoxide","CAP","23406.9911199501","TON"
"Off-Highway","MA","25","Norfolk","021","Carbon Monoxide","CAP","23237.7558230778","TON"
"Off-Highway","MA","25","Suffolk","025","Carbon Monoxide","CAP","22055.9258627024","TON"
"Highway Vehicles","MA","25","Hampden","013","Carbon Monoxide","CAP","22018.208304","TON"
"Off-Highway","MA","25","Plymouth","023","Carbon Monoxide","CAP","21190.49441029909","TON"
"Highway Vehicles","MA","25","Suffolk","025","Carbon Monoxide","CAP","20479.79765375","TON"
"Natural Resources","MA","25","Worcester","027","Volatile Organic Compounds","CAP","17347.06","TON"
"Off-Highway","MA","25","Bristol","005","Carbon Monoxide","CAP","14627.7131002879","TON"
"Solvent Utilization","MA","25","Middlesex","017","Volatile Organic Compounds","CAP","13641.741236","TON"
"Highway Vehicles","MA","25","Barnstable","001","Carbon Monoxide","CAP","12939.790983","TON"
"Off-Highway","MA","25","Hampden","013","Carbon Monoxide","CAP","12042.004363487","TON"
