"TIER","STATE","STATE_FIPS","COUNTY","COUNTY_FIPS","POLLUTANT","POLLUTANT TYPE","EMISSIONS","UNIT OF MEASURE"
"Highway Vehicles","NH","33","Rockingham","015","Carbon Monoxide","CAP","19585.13178322","TON"
"Highway Vehicles","NH","33","Hillsborough","011","Carbon Monoxide","CAP","19576.53596","TON"
"Off-Highway","NH","33","Hillsborough","011","Carbon Monoxide","CAP","19017.69549139803","TON"
"Off-Highway","NH","33","Rockingham","015","Carbon Monoxide","CAP","14428.0127829202","TON"
"Natural Resources","NH","33","Grafton","009","Volatile Organic Compounds","CAP","12160.52","TON"
"Natural Resources","NH","33","Coos","007","Volatile Organic Compounds","CAP","11439.6","TON"
"Highway Vehicles","NH","33","Merrimack","013","Carbon Monoxide","CAP","10808.1357063","TON"
"Natural Resources","NH","33","Merrimack","013","Volatile Organic Compounds","CAP","10378.76","TON"
"Natural Resources","NH","33","Hillsborough","011","Volatile Organic Compounds","CAP","10282.96","TON"
"Natural Resources","NH","33","Carroll","003","Volatile Organic Compounds","CAP","10026.52","TON"
"Natural Resources","NH","33","Rockingham","015","Volatile Organic Compounds","CAP","8399.504","TON"
"Natural Resources","NH","33","Cheshire","005","Volatile Organic Compounds","CAP","8174.742","TON"
"Fuel Comb. Other","NH","33","Hillsborough","011","Carbon Monoxide","CAP","6753.829477","TON"
"Off-Highway","NH","33","Merrimack","013","Carbon Monoxide","CAP","6549.48970055537","TON"
"Natural Resources","NH","33","Sullivan","019","Volatile Organic Compounds","CAP","6245.454","TON"
"Fuel Comb. Other","NH","33","Rockingham","015","Carbon Monoxide","CAP","6162.342804","TON"
"Highway Vehicles","NH","33","Grafton","009","Carbon Monoxide","CAP","6080.6678825929","TON"
"Highway Vehicles","NH","33","Strafford","017","Carbon Monoxide","CAP","5927.496718276","TON"
"Off-Highway","NH","33","Belknap","001","Carbon Monoxide","CAP","5714.4928318156","TON"
"Natural Resources","NH","33","Belknap","001","Volatile Organic Compounds","CAP","5607.001","TON"
"Natural Resources","NH","33","Strafford","017","Volatile Organic Compounds","CAP","5436.717","TON"
"Off-Highway","NH","33","Carroll","003","Carbon Monoxide","CAP","5302.568319231","TON"
"Off-Highway","NH","33","Grafton","009","Carbon Monoxide","CAP","5074.897436716","TON"
"Fuel Comb. Other","NH","33","Grafton","009","Carbon Monoxide","CAP","4254.99347","TON"
"Highway Vehicles","NH","33","Belknap","001","Carbon Monoxide","CAP","4243.085001302","TON"
"Off-Highway","NH","33","Strafford","017","Carbon Monoxide","CAP","4188.359548704","TON"
"Highway Vehicles","NH","33","Cheshire","005","Carbon Monoxide","CAP","4102.39877372","TON"
"Fuel Comb. Other","NH","33","Merrimack","013","Carbon Monoxide","CAP","3795.6073901","TON"
"Off-Highway","NH","33","Cheshire","005","Carbon Monoxide","CAP","3722.6755717876","TON"
"Off-Highway","NH","33","Coos","007","Carbon Monoxide","CAP","3541.66542493967","TON"
"Waste Disposal & Recycling","NH","33","Hillsborough","011","Carbon Monoxide","CAP","3387.91717","TON"
"Highway Vehicles","NH","33","Carroll","003","Carbon Monoxide","CAP","3258.525191125","TON"
"Highway Vehicles","NH","33","Rockingham","015","Nitrogen Oxides","CAP","2742.43732869","TON"
"Fuel Comb. Other","NH","33","Cheshire","005","Carbon Monoxide","CAP","2722.0453865","TON"
"Solvent Utilization","NH","33","Hillsborough","011","Volatile Organic Compounds","CAP","2663.6679355","TON"
"Highway Vehicles","NH","33","Hillsborough","011","Nitrogen Oxides","CAP","2591.917293333","TON"
"Off-Highway","NH","33","Sullivan","019","Carbon Monoxide","CAP","2577.813550559","TON"
"Fuel Comb. Other","NH","33","Carroll","003","Carbon Monoxide","CAP","2509.2166439","TON"
"Highway Vehicles","NH","33","Sullivan","019","Carbon Monoxide","CAP","2461.373148263","TON"
"Fuel Comb. Other","NH","33","Strafford","017","Carbon Monoxide","CAP","2434.3566502","TON"
"Miscellaneous","NH","33","Hillsborough","011","PM10 Primary (Filt + Cond)","CAP","2280.62730881789","TON"
"Off-Highway","NH","33","Multiple (portable facilities)","777","Lead","CAP/HAP","2274.226","LB"
"Miscellaneous","NH","33","Rockingham","015","PM10 Primary (Filt + Cond)","CAP","2197.53898083526","TON"
"Natural Resources","NH","33","Coos","007","Carbon Monoxide","CAP","2150.057","TON"
"Natural Resources","NH","33","Grafton","009","Carbon Monoxide","CAP","2113.368","TON"
"Highway Vehicles","NH","33","Coos","007","Carbon Monoxide","CAP","2094.3341949","TON"
"Fuel Comb. Other","NH","33","Belknap","001","Carbon Monoxide","CAP","1986.0911328","TON"
"Fuel Comb. Industrial","NH","33","Hillsborough","011","Nitrogen Oxides","CAP","1983.4312347","TON"
"Waste Disposal & Recycling","NH","33","Merrimack","013","Carbon Monoxide","CAP","1947.6118","TON"
"Solvent Utilization","NH","33","Rockingham","015","Volatile Organic Compounds","CAP","1846.6663623","TON"
"Highway Vehicles","NH","33","Hillsborough","011","Volatile Organic Compounds","CAP","1753.501281308","TON"
