"TIER","STATE","STATE_FIPS","COUNTY","COUNTY_FIPS","POLLUTANT","POLLUTANT TYPE","EMISSIONS","UNIT OF MEASURE"
"Highway Vehicles","RI","44","Providence","007","Carbon Monoxide","CAP","24461.5342634","TON"
"Off-Highway","RI","44","Providence","007","Carbon Monoxide","CAP","12451.37107680267","TON"
"Highway Vehicles","RI","44","Kent","003","Carbon Monoxide","CAP","7824.56932396","TON"
"Off-Highway","RI","44","Kent","003","Carbon Monoxide","CAP","6236.8924823112","TON"
"Solvent Utilization","RI","44","Providence","007","Volatile Organic Compounds","CAP","6213.656442","TON"
"Off-Highway","RI","44","Washington","009","Carbon Monoxide","CAP","6127.200425402","TON"
"Natural Resources","RI","44","Providence","007","Volatile Organic Compounds","CAP","5925.497","TON"
"Highway Vehicles","RI","44","Washington","009","Carbon Monoxide","CAP","5773.80486585","TON"
"Natural Resources","RI","44","Washington","009","Volatile Organic Compounds","CAP","5160.546","TON"
"Off-Highway","RI","44","Newport","005","Carbon Monoxide","CAP","4542.9629594095","TON"
"Waste Disposal & Recycling","RI","44","Providence","007","Carbon Monoxide","CAP","3695.267245","TON"
"Highway Vehicles","RI","44","Providence","007","Nitrogen Oxides","CAP","3601.68667888","TON"
"Fuel Comb. Other","RI","44","Providence","007","Carbon Monoxide","CAP","3478.7285093","TON"
"Highway Vehicles","RI","44","Newport","005","Carbon Monoxide","CAP","3245.65678756","TON"
"Natural Resources","RI","44","Kent","003","Volatile Organic Compounds","CAP","3138.801","TON"
"Highway Vehicles","RI","44","Providence","007","Volatile Organic Compounds","CAP","2211.10725849","TON"
"Miscellaneous","RI","44","Providence","007","PM10 Primary (Filt + Cond)","CAP","2201.77013552","TON"
"Natural Resources","RI","44","Newport","005","Volatile Organic Compounds","CAP","1995.568","TON"
"Highway Vehicles","RI","44","Bristol","001","Carbon Monoxide","CAP","1606.51034747","TON"
"Fuel Comb. Other","RI","44","Kent","003","Carbon Monoxide","CAP","1597.95783964","TON"
"Off-Highway","RI","44","Bristol","001","Carbon Monoxide","CAP","1560.4691126747","TON"
"Fuel Comb. Other","RI","44","Washington","009","Carbon Monoxide","CAP","1501.85065962","TON"
"Off-Highway","RI","44","Providence","007","Nitrogen Oxides","CAP","1498.70095227121","TON"
"Fuel Comb. Other","RI","44","Providence","007","Nitrogen Oxides","CAP","1408.8450786","TON"
"Highway Vehicles","RI","44","Kent","003","Nitrogen Oxides","CAP","1139.008224804","TON"
"Off-Highway","RI","44","Washington","009","Nitrogen Oxides","CAP","1096.3395930477","TON"
