"TIER","STATE","STATE_FIPS","COUNTY","COUNTY_FIPS","POLLUTANT","POLLUTANT TYPE","EMISSIONS","UNIT OF MEASURE"
"Off-Highway","VT","50","Chittenden","007","Carbon Monoxide","CAP","8783.303395671","TON"
"Highway Vehicles","VT","50","Chittenden","007","Carbon Monoxide","CAP","8039.33906243","TON"
"Natural Resources","VT","50","Windsor","027","Volatile Organic Compounds","CAP","7486.79","TON"
"Natural Resources","VT","50","Windham","025","Volatile Organic Compounds","CAP","7374.159","TON"
"Natural Resources","VT","50","Rutland","021","Volatile Organic Compounds","CAP","6625.426","TON"
"Natural Resources","VT","50","Orange","017","Volatile Organic Compounds","CAP","5512.553","TON"
"Natural Resources","VT","50","Essex","009","Volatile Organic Compounds","CAP","5298.78","TON"
"Natural Resources","VT","50","Bennington","003","Volatile Organic Compounds","CAP","4832.678","TON"
"Natural Resources","VT","50","Washington","023","Volatile Organic Compounds","CAP","4715.383","TON"
"Natural Resources","VT","50","Orleans","019","Volatile Organic Compounds","CAP","4699.997","TON"
"Highway Vehicles","VT","50","Windsor","027","Carbon Monoxide","CAP","4612.20100097","TON"
"Natural Resources","VT","50","Caledonia","005","Volatile Organic Compounds","CAP","4611.001","TON"
"Fuel Comb. Other","VT","50","Chittenden","007","Carbon Monoxide","CAP","4537.6247618","TON"
"Natural Resources","VT","50","Addison","001","Volatile Organic Compounds","CAP","4246.813","TON"
"Fuel Comb. Other","VT","50","Washington","023","Carbon Monoxide","CAP","4246.3056888","TON"
"Fuel Comb. Other","VT","50","Windsor","027","Carbon Monoxide","CAP","4221.95655231","TON"
"Miscellaneous","VT","50","Windsor","027","PM10 Primary (Filt + Cond)","CAP","4181.831582967661","TON"
"Miscellaneous","VT","50","Rutland","021","PM10 Primary (Filt + Cond)","CAP","4084.376627593139","TON"
"Natural Resources","VT","50","Franklin","011","Volatile Organic Compounds","CAP","4046.595","TON"
"Off-Highway","VT","50","Rutland","021","Carbon Monoxide","CAP","3940.541846309","TON"
"Miscellaneous","VT","50","Chittenden","007","PM10 Primary (Filt + Cond)","CAP","3872.28725683833","TON"
"Fuel Comb. Other","VT","50","Rutland","021","Carbon Monoxide","CAP","3823.93460632","TON"
"Miscellaneous","VT","50","Addison","001","PM10 Primary (Filt + Cond)","CAP","3793.10652986492","TON"
"Natural Resources","VT","50","Chittenden","007","Volatile Organic Compounds","CAP","3526.733","TON"
"Highway Vehicles","VT","50","Windham","025","Carbon Monoxide","CAP","3444.97696517","TON"
"Highway Vehicles","VT","50","Washington","023","Carbon Monoxide","CAP","3424.230045394","TON"
"Fuel Comb. Other","VT","50","Windham","025","Carbon Monoxide","CAP","3251.61523929","TON"
"Natural Resources","VT","50","Lamoille","015","Volatile Organic Compounds","CAP","3138.644","TON"
"Highway Vehicles","VT","50","Rutland","021","Carbon Monoxide","CAP","3131.61112202","TON"
"Miscellaneous","VT","50","Franklin","011","PM10 Primary (Filt + Cond)","CAP","3073.392762680092","TON"
"Fuel Comb. Other","VT","50","Orange","017","Carbon Monoxide","CAP","2861.98919686","TON"
"Fuel Comb. Other","VT","50","Bennington","003","Carbon Monoxide","CAP","2824.51402979","TON"
"Miscellaneous","VT","50","Windham","025","PM10 Primary (Filt + Cond)","CAP","2704.940226130222","TON"
"Fuel Comb. Other","VT","50","Franklin","011","Carbon Monoxide","CAP","2609.39775847","TON"
"Fuel Comb. Other","VT","50","Addison","001","Carbon Monoxide","CAP","2519.08411749","TON"
"Highway Vehicles","VT","50","Franklin","011","Carbon Monoxide","CAP","2508.25809773","TON"
"Miscellaneous","VT","50","Washington","023","PM10 Primary (Filt + Cond)","CAP","2445.191137612104","TON"
"Fuel Comb. Other","VT","50","Caledonia","005","Carbon Monoxide","CAP","2382.36482139","TON"
"Off-Highway","VT","50","Windsor","027","Carbon Monoxide","CAP","2367.98718825","TON"
"Fuel Comb. Other","VT","50","Orleans","019","Carbon Monoxide","CAP","2364.01526329","TON"
"Off-Highway","VT","50","Grand Isle","013","Carbon Monoxide","CAP","2358.9335888553","TON"
"Off-Highway","VT","50","Washington","023","Carbon Monoxide","CAP","2348.020099644","TON"
"Miscellaneous","VT","50","Bennington","003","PM10 Primary (Filt + Cond)","CAP","2319.115412727418","TON"
"Fuel Comb. Other","VT","50","Lamoille","015","Carbon Monoxide","CAP","2284.59131305","TON"
"Off-Highway","VT","50","Windham","025","Carbon Monoxide","CAP","2229.53624945288","TON"
"Highway Vehicles","VT","50","Orange","017","Carbon Monoxide","CAP","2123.97039272","TON"
"Off-Highway","VT","50","Bennington","003","Carbon Monoxide","CAP","2112.55297252327","TON"
"Highway Vehicles","VT","50","Caledonia","005","Carbon Monoxide","CAP","1991.25245601","TON"
"Miscellaneous","VT","50","Lamoille","015","PM10 Primary (Filt + Cond)","CAP","1987.884565967757","TON"
"Highway Vehicles","VT","50","Addison","001","Carbon Monoxide","CAP","1939.35008584","TON"
"Miscellaneous","VT","50","Caledonia","005","PM10 Primary (Filt + Cond)","CAP","1927.797913940801","TON"
"Highway Vehicles","VT","50","Bennington","003","Carbon Monoxide","CAP","1904.69000151","TON"
"Miscellaneous","VT","50","Orange","017","PM10 Primary (Filt + Cond)","CAP","1855.088711840084","TON"
"Miscellaneous","VT","50","Orleans","019","PM10 Primary (Filt + Cond)","CAP","1831.271589217159","TON"
"Off-Highway","VT","50","Chittenden","007","Nitrogen Oxides","CAP","1824.0239094194","TON"
"Off-Highway","VT","50","Franklin","011","Carbon Monoxide","CAP","1804.915087611","TON"
"Off-Highway","VT","50","Addison","001","Carbon Monoxide","CAP","1791.034265436","TON"
"Off-Highway","VT","50","Essex","009","Carbon Monoxide","CAP","1574.8113705253","TON"
"Solvent Utilization","VT","50","Chittenden","007","Volatile Organic Compounds","CAP","1554.9911174","TON"
"Off-Highway","VT","50","Orleans","019","Carbon Monoxide","CAP","1525.78732576891","TON"
"Highway Vehicles","VT","50","Orleans","019","Carbon Monoxide","CAP","1507.46865389","TON"
"Highway Vehicles","VT","50","Lamoille","015","Carbon Monoxide","CAP","1361.6891116","TON"
"Natural Resources","VT","50","Grand Isle","013","Volatile Organic Compounds","CAP","1358.57","TON"
"Miscellaneous","VT","50","Addison","001","Ammonia","CAP","1333.9661588","TON"
"Miscellaneous","VT","50","Franklin","011","Ammonia","CAP","1276.4803524","TON"
"Natural Resources","VT","50","Windsor","027","Carbon Monoxide","CAP","1256.289","TON"
"Off-Highway","VT","50","Caledonia","005","Carbon Monoxide","CAP","1226.844800837","TON"
"Off-Highway","VT","50","Multiple (portable facilities)","777","Lead","CAP/HAP","1212.5122","LB"
"Off-Highway","VT","50","Orange","017","Carbon Monoxide","CAP","1181.904730907","TON"
"Natural Resources","VT","50","Windham","025","Carbon Monoxide","CAP","1181.58","TON"
"Natural Resources","VT","50","Rutland","021","Carbon Monoxide","CAP","1116.856","TON"
"Highway Vehicles","VT","50","Chittenden","007","Nitrogen Oxides","CAP","1046.210731321","TON"
"Natural Resources","VT","50","Essex","009","Carbon Monoxide","CAP","1001.583","TON"
"Off-Highway","VT","50","Lamoille","015","Carbon Monoxide","CAP","986.4514069212","TON"
"Natural Resources","VT","50","Orange","017","Carbon Monoxide","CAP","957.8434","TON"
"Waste Disposal & Recycling","VT","50","Chittenden","007","Carbon Monoxide","CAP","895.80209","TON"
"Natural Resources","VT","50","Orleans","019","Carbon Monoxide","CAP","884.7748","TON"
"Natural Resources","VT","50","Washington","023","Carbon Monoxide","CAP","863.1027","TON"
