"TIER","STATE","STATE_FIPS","COUNTY","COUNTY_FIPS","POLLUTANT","POLLUTANT TYPE","EMISSIONS","UNIT OF MEASURE"
"Miscellaneous","CA","06","Siskiyou","093","Carbon Monoxide","CAP","1423596.470822474762","TON"
"Miscellaneous","CA","06","Tulare","107","Carbon Monoxide","CAP","641059.55339407506","TON"
"Miscellaneous","CA","06","Sonoma","097","Carbon Monoxide","CAP","388233.32581953113","TON"
"Miscellaneous","CA","06","Siskiyou","093","Volatile Organic Compounds","CAP","334507.9164756939832","TON"
"Miscellaneous","CA","06","Ventura","111","Carbon Monoxide","CAP","236868.9300873286","TON"
"Miscellaneous","CA","06","Alpine","003","Carbon Monoxide","CAP","189345.1610498751092","TON"
"Highway Vehicles","CA","06","Los Angeles","037","Carbon Monoxide","CAP","176009.879515","TON"
"Miscellaneous","CA","06","Tulare","107","Volatile Organic Compounds","CAP","158648.602434008204","TON"
"Off-Highway","CA","06","Los Angeles","037","Carbon Monoxide","CAP","155767.8833112937","TON"
"Miscellaneous","CA","06","Siskiyou","093","PM10 Primary (Filt + Cond)","CAP","145059.351343239656","TON"
"Miscellaneous","CA","06","Napa","055","Carbon Monoxide","CAP","133048.22592268209","TON"
"Miscellaneous","CA","06","Tuolumne","109","Carbon Monoxide","CAP","131855.092629107182","TON"
"Miscellaneous","CA","06","Siskiyou","093","PM2.5 Primary (Filt + Cond)","CAP","119140.033173680355","TON"
"Miscellaneous","CA","06","Del Norte","015","Carbon Monoxide","CAP","113810.420228029598","TON"
"Miscellaneous","CA","06","Santa Barbara","083","Carbon Monoxide","CAP","106289.72407776579","TON"
"Miscellaneous","CA","06","Fresno","019","Carbon Monoxide","CAP","92371.5869688991","TON"
"Miscellaneous","CA","06","Sonoma","097","Volatile Organic Compounds","CAP","92012.738442582423","TON"
"Miscellaneous","CA","06","Mariposa","043","Carbon Monoxide","CAP","86271.926376210003","TON"
"Miscellaneous","CA","06","Tulare","107","PM10 Primary (Filt + Cond)","CAP","75807.69682363938","TON"
"Miscellaneous","CA","06","Tulare","107","Ammonia","CAP","67870.3839062","TON"
"Miscellaneous","CA","06","Plumas","063","Carbon Monoxide","CAP","65101.420448472925","TON"
"Off-Highway","CA","06","Orange","059","Carbon Monoxide","CAP","62013.80043469","TON"
"Off-Highway","CA","06","San Diego","073","Carbon Monoxide","CAP","59509.8636690399","TON"
"Highway Vehicles","CA","06","San Diego","073","Carbon Monoxide","CAP","58592.3415231","TON"
"Miscellaneous","CA","06","Ventura","111","Volatile Organic Compounds","CAP","56441.03410190205","TON"
"Miscellaneous","CA","06","Tulare","107","PM2.5 Primary (Filt + Cond)","CAP","55666.83208866008","TON"
"Off-Highway","CA","06","Multiple (portable facilities)","777","Lead","CAP/HAP","52696.06","LB"
"Highway Vehicles","CA","06","Orange","059","Carbon Monoxide","CAP","50704.022839418","TON"
"Miscellaneous","CA","06","Trinity","105","Carbon Monoxide","CAP","50298.951438213547","TON"
"Highway Vehicles","CA","06","San Bernardino","071","Carbon Monoxide","CAP","47587.75032989","TON"
"Miscellaneous","CA","06","Alpine","003","Volatile Organic Compounds","CAP","44543.17438717675373","TON"
"Highway Vehicles","CA","06","Riverside","065","Carbon Monoxide","CAP","42704.268145333","TON"
"Miscellaneous","CA","06","Sonoma","097","PM10 Primary (Filt + Cond)","CAP","40232.59479477199","TON"
"Off-Highway","CA","06","San Bernardino","071","Carbon Monoxide","CAP","37708.9888131296","TON"
"Miscellaneous","CA","06","Modoc","049","Carbon Monoxide","CAP","36145.072267528984","TON"
"Highway Vehicles","CA","06","Los Angeles","037","Nitrogen Oxides","CAP","36086.441137","TON"
"Miscellaneous","CA","06","Merced","047","Ammonia","CAP","35261.438249","TON"
"Miscellaneous","CA","06","Madera","039","Carbon Monoxide","CAP","33565.95660073856","TON"
"Solvent Utilization","CA","06","Los Angeles","037","Volatile Organic Compounds","CAP","32917.6649863611615","TON"
"Off-Highway","CA","06","Los Angeles","037","Nitrogen Oxides","CAP","32748.7263834245","TON"
"Miscellaneous","CA","06","Sonoma","097","PM2.5 Primary (Filt + Cond)","CAP","32467.24844136273","TON"
"Off-Highway","CA","06","Santa Clara","085","Carbon Monoxide","CAP","31791.8642446968","TON"
"Miscellaneous","CA","06","San Joaquin","077","Ammonia","CAP","31723.1435439","TON"
"Miscellaneous","CA","06","Napa","055","Volatile Organic Compounds","CAP","31411.271722058771","TON"
"Miscellaneous","CA","06","Tuolumne","109","Volatile Organic Compounds","CAP","31150.8340075654787","TON"
"Miscellaneous","CA","06","Ventura","111","PM10 Primary (Filt + Cond)","CAP","29677.587039905","TON"
"Miscellaneous","CA","06","El Dorado","017","Carbon Monoxide","CAP","29589.61663286026","TON"
"Off-Highway","CA","06","Riverside","065","Carbon Monoxide","CAP","29429.862423321","TON"
"Miscellaneous","CA","06","Imperial","025","PM10 Primary (Filt + Cond)","CAP","28736.49557224314","TON"
"Miscellaneous","CA","06","Los Angeles","037","Carbon Monoxide","CAP","28442.771081293","TON"
"Miscellaneous","CA","06","Kern","029","Ammonia","CAP","28093.93713027","TON"
"Off-Highway","CA","06","Alameda","001","Carbon Monoxide","CAP","27631.271684458","TON"
"Highway Vehicles","CA","06","Santa Clara","085","Carbon Monoxide","CAP","27619.9796165","TON"
"Highway Vehicles","CA","06","Sacramento","067","Carbon Monoxide","CAP","27488.80658284","TON"
"Miscellaneous","CA","06","Del Norte","015","Volatile Organic Compounds","CAP","26795.7769056859151","TON"
"Miscellaneous","CA","06","Stanislaus","099","Ammonia","CAP","26674.486552","TON"
"Highway Vehicles","CA","06","Alameda","001","Carbon Monoxide","CAP","26386.1351949","TON"
"Miscellaneous","CA","06","Fresno","019","Ammonia","CAP","26354.565122","TON"
"Miscellaneous","CA","06","Imperial","025","Ammonia","CAP","26109.599788","TON"
"Miscellaneous","CA","06","Nevada","057","Carbon Monoxide","CAP","25734.17661455447","TON"
"Miscellaneous","CA","06","Santa Barbara","083","Volatile Organic Compounds","CAP","25470.716397507735","TON"
"Miscellaneous","CA","06","Siskiyou","093","Ammonia","CAP","25368.7699017","TON"
"Miscellaneous","CA","06","Fresno","019","Volatile Organic Compounds","CAP","25056.16550556795","TON"
"Miscellaneous","CA","06","Fresno","019","PM10 Primary (Filt + Cond)","CAP","23657.1283332714","TON"
"Miscellaneous","CA","06","Butte","007","Carbon Monoxide","CAP","22857.03141870227","TON"
"Miscellaneous","CA","06","Kings","031","Ammonia","CAP","22830.3454583","TON"
"Miscellaneous","CA","06","Ventura","111","PM2.5 Primary (Filt + Cond)","CAP","22365.29216038432","TON"
"Miscellaneous","CA","06","San Diego","073","PM10 Primary (Filt + Cond)","CAP","22248.6300309714","TON"
"Off-Highway","CA","06","San Mateo","081","Carbon Monoxide","CAP","22133.59231082","TON"
"Off-Highway","CA","06","Sacramento","067","Carbon Monoxide","CAP","21570.2342379502","TON"
"Miscellaneous","CA","06","Riverside","065","Carbon Monoxide","CAP","21070.3778172353","TON"
"Miscellaneous","CA","06","Mariposa","043","Volatile Organic Compounds","CAP","20672.8469133958091","TON"
"Miscellaneous","CA","06","Los Angeles","037","PM10 Primary (Filt + Cond)","CAP","19669.474938882","TON"
"Highway Vehicles","CA","06","Kern","029","Carbon Monoxide","CAP","19385.5154613","TON"
"Miscellaneous","CA","06","Alpine","003","PM10 Primary (Filt + Cond)","CAP","19344.2679175300868","TON"
"Highway Vehicles","CA","06","Los Angeles","037","Volatile Organic Compounds","CAP","19196.88970648","TON"
"Miscellaneous","CA","06","Riverside","065","PM10 Primary (Filt + Cond)","CAP","18618.8384282349","TON"
"Miscellaneous","CA","06","San Diego","073","Carbon Monoxide","CAP","18370.5460020379","TON"
"Off-Highway","CA","06","Los Angeles","037","Volatile Organic Compounds","CAP","17745.293841112132","TON"
"Highway Vehicles","CA","06","San Bernardino","071","Nitrogen Oxides","CAP","17443.1394614","TON"
"Highway Vehicles","CA","06","Fresno","019","Carbon Monoxide","CAP","16923.15111172","TON"
"Miscellaneous","CA","06","Kern","029","Carbon Monoxide","CAP","16589.1839685626","TON"
"Solvent Utilization","CA","06","San Diego","073","Volatile Organic Compounds","CAP","16141.157396160972","TON"
"Miscellaneous","CA","06","Alpine","003","PM2.5 Primary (Filt + Cond)","CAP","15986.6764313033039","TON"
"Off-Highway","CA","06","Contra Costa","013","Carbon Monoxide","CAP","15922.87916632","TON"
"Off-Highway","CA","06","San Bernardino","071","Nitrogen Oxides","CAP","15849.8524848939","TON"
"Highway Vehicles","CA","06","Contra Costa","013","Carbon Monoxide","CAP","15555.7673454","TON"
"Off-Highway","CA","06","Fresno","019","Carbon Monoxide","CAP","15521.85287713","TON"
"Miscellaneous","CA","06","Plumas","063","Volatile Organic Compounds","CAP","15423.9533611103557","TON"
"Off-Highway","CA","06","San Francisco","075","Carbon Monoxide","CAP","15211.83622579","TON"
"Miscellaneous","CA","06","Humboldt","023","Carbon Monoxide","CAP","15167.73408066013","TON"
"Highway Vehicles","CA","06","Riverside","065","Nitrogen Oxides","CAP","15150.78892505","TON"
"Miscellaneous","CA","06","San Bernardino","071","PM10 Primary (Filt + Cond)","CAP","15072.0879517702","TON"
"Miscellaneous","CA","06","Shasta","089","Carbon Monoxide","CAP","15032.79563602376","TON"
"Miscellaneous","CA","06","Santa Barbara","083","PM10 Primary (Filt + Cond)","CAP","14984.15938764748","TON"
"Miscellaneous","CA","06","Tuolumne","109","PM10 Primary (Filt + Cond)","CAP","14293.799214708273","TON"
"Highway Vehicles","CA","06","Ventura","111","Carbon Monoxide","CAP","14191.0667255","TON"
"Miscellaneous","CA","06","Napa","055","PM10 Primary (Filt + Cond)","CAP","14049.80569496861","TON"
"Petroleum & Related Industries","CA","06","Kern","029","Volatile Organic Compounds","CAP","14042.300800619","TON"
"Highway Vehicles","CA","06","San Joaquin","077","Carbon Monoxide","CAP","13925.4304985","TON"
"Miscellaneous","CA","06","Siskiyou","093","Nitrogen Oxides","CAP","13817.859983650369","TON"
"Miscellaneous","CA","06","Lake","033","Carbon Monoxide","CAP","13628.036946821076","TON"
"Off-Highway","CA","06","Ventura","111","Carbon Monoxide","CAP","13609.71428959378","TON"
"Off-Highway","CA","06","San Joaquin","077","Carbon Monoxide","CAP","13572.633852611","TON"
"Fuel Comb. Other","CA","06","Sacramento","067","Carbon Monoxide","CAP","13491.509779348","TON"
"Highway Vehicles","CA","06","San Diego","073","Nitrogen Oxides","CAP","13083.6974059","TON"
"Miscellaneous","CA","06","San Bernardino","071","Ammonia","CAP","12467.6800795","TON"
"Miscellaneous","CA","06","Mono","051","Carbon Monoxide","CAP","12348.812641627631","TON"
"Miscellaneous","CA","06","Del Norte","015","PM10 Primary (Filt + Cond)","CAP","12348.515161142681","TON"
"Miscellaneous","CA","06","Trinity","105","Volatile Organic Compounds","CAP","11914.2208218681099","TON"
"Off-Highway","CA","06","Kern","029","Carbon Monoxide","CAP","11716.2601023522","TON"
"Miscellaneous","CA","06","Sonoma","097","Ammonia","CAP","11510.782224","TON"
"Miscellaneous","CA","06","Napa","055","PM2.5 Primary (Filt + Cond)","CAP","11477.08803356133","TON"
"Miscellaneous","CA","06","Orange","059","Carbon Monoxide","CAP","11293.9132413253","TON"
"Miscellaneous","CA","06","Tuolumne","109","PM2.5 Primary (Filt + Cond)","CAP","11195.822293301557","TON"
"Highway Vehicles","CA","06","Kern","029","Nitrogen Oxides","CAP","11186.8703347","TON"
"Highway Vehicles","CA","06","Monterey","053","Carbon Monoxide","CAP","10799.2685142","TON"
"Miscellaneous","CA","06","Monterey","053","Carbon Monoxide","CAP","10792.68463735578","TON"
"Miscellaneous","CA","06","Kern","029","PM10 Primary (Filt + Cond)","CAP","10749.2331598219","TON"
"Miscellaneous","CA","06","Santa Cruz","087","Carbon Monoxide","CAP","10738.72347107244","TON"
"Fuel Comb. Other","CA","06","Los Angeles","037","Carbon Monoxide","CAP","10673.484520601","TON"
"Off-Highway","CA","06","San Diego","073","Nitrogen Oxides","CAP","10385.9477859095","TON"
"Off-Highway","CA","06","Sonoma","097","Carbon Monoxide","CAP","10335.53368924","TON"
"Solvent Utilization","CA","06","Orange","059","Volatile Organic Compounds","CAP","10317.741501301935","TON"
"Miscellaneous","CA","06","Madera","039","Ammonia","CAP","10307.0165221","TON"
"Highway Vehicles","CA","06","San Mateo","081","Carbon Monoxide","CAP","10133.7666206","TON"
"Miscellaneous","CA","06","Fresno","019","PM2.5 Primary (Filt + Cond)","CAP","10101.5690169472","TON"
"Miscellaneous","CA","06","Santa Barbara","083","PM2.5 Primary (Filt + Cond)","CAP","9982.36729886075","TON"
"Miscellaneous","CA","06","Mariposa","043","PM10 Primary (Filt + Cond)","CAP","9944.892720328084","TON"
"Miscellaneous","CA","06","Solano","095","Carbon Monoxide","CAP","9580.29945686894","TON"
"Miscellaneous","CA","06","Del Norte","015","PM2.5 Primary (Filt + Cond)","CAP","9466.863675224482","TON"
"Miscellaneous","CA","06","Mendocino","045","Carbon Monoxide","CAP","9443.23724734552","TON"
"Highway Vehicles","CA","06","Santa Barbara","083","Carbon Monoxide","CAP","9354.0020384","TON"
"Highway Vehicles","CA","06","Orange","059","Nitrogen Oxides","CAP","9335.54085634","TON"
"Miscellaneous","CA","06","Plumas","063","PM10 Primary (Filt + Cond)","CAP","9271.34692289522","TON"
"Miscellaneous","CA","06","Los Angeles","037","Ammonia","CAP","9170.4154463","TON"
"Miscellaneous","CA","06","Madera","039","Volatile Organic Compounds","CAP","9069.372092156868","TON"
"Highway Vehicles","CA","06","Sonoma","097","Carbon Monoxide","CAP","9060.1215012","TON"
"Miscellaneous","CA","06","Modoc","049","Volatile Organic Compounds","CAP","8972.119412841419","TON"
"Miscellaneous","CA","06","Siskiyou","093","Sulfur Dioxide","CAP","8965.720356748128","TON"
"Miscellaneous","CA","06","Lassen","035","Carbon Monoxide","CAP","8904.507792764016","TON"
"Off-Highway","CA","06","Tulare","107","Carbon Monoxide","CAP","8846.29029021","TON"
"Highway Vehicles","CA","06","Solano","095","Carbon Monoxide","CAP","8837.7941324","TON"
"Highway Vehicles","CA","06","Tulare","107","Carbon Monoxide","CAP","8755.7601695","TON"
"Solvent Utilization","CA","06","Santa Clara","085","Volatile Organic Compounds","CAP","8619.484076018217","TON"
"Other Industrial Processes","CA","06","San Bernardino","071","Nitrogen Oxides","CAP","8554.89145056","TON"
"Highway Vehicles","CA","06","Stanislaus","099","Carbon Monoxide","CAP","8499.1080156","TON"
"Highway Vehicles","CA","06","Alameda","001","Nitrogen Oxides","CAP","8427.05392795","TON"
"Off-Highway","CA","06","Placer","061","Carbon Monoxide","CAP","8314.84202494","TON"
"Miscellaneous","CA","06","Merced","047","PM10 Primary (Filt + Cond)","CAP","8311.49425291899","TON"
"Solvent Utilization","CA","06","Fresno","019","Volatile Organic Compounds","CAP","8286.843340836","TON"
"Miscellaneous","CA","06","Riverside","065","Ammonia","CAP","8258.9060975","TON"
"Solvent Utilization","CA","06","Riverside","065","Volatile Organic Compounds","CAP","8232.6594248705","TON"
"Off-Highway","CA","06","San Diego","073","Volatile Organic Compounds","CAP","8148.25318226068","TON"
